Utc,Bsp,Awa,Aws,Twa,Tws,Twd
42204.31214,,,,,,
42204.312185,,,,,,
42204.312526,,,,,,
42204.312877,,,,,,
42204.31323,,,,,,
42204.313572,,,,,,
42204.313923,,,,,,
42204.314275,,,,,,
42204.314627,,,,,,
42204.314967,,,,,,
42204.315319,,,,,,
42204.34779,,,,,,
42204.347836,,,,,,
42204.348106,,,,,,
42204.348117,,,,,,
42204.348129,,,,,,
42204.348141,,,,,,
42204.348153,,94,4.9,,,
42204.348164,0,95,5.1,85.7,4.88,89.5
42204.348176,,97,5.3,88,5.08,91.8
42204.348188,0,98,5.4,89.4,5.14,93.1
42204.3482,0,100,5.4,91.7,5.11,94.4
42204.348211,0,100,5.5,91.6,5.21,94.4
42204.348223,0,100,5.5,91.7,5.21,94.5
42204.348235,0,98,5.5,89.4,5.21,92.2
42204.348246,,97,5.5,88.3,5.23,92
42204.348258,0,97,5.5,88.3,5.24,92.1
42204.34827,0,97,5.8,88.3,5.53,91
42204.348281,0,97,5.6,88.5,5.33,91.3
42204.348293,0,96,5.7,87.3,5.44,90.1
42204.348305,0,97,5.2,88.5,4.96,91.2
42204.348317,0,98,5,89.1,4.76,91.8
42204.348328,0,100,5.3,91.6,5.02,94.3
42204.34834,0,100,5,91.6,4.74,94.3
42204.348352,0,103,4.8,94.7,4.51,97.5
42204.348363,0,105,4.7,97,4.4,100.7
42204.348375,,106,4.7,98.1,4.39,101.9
42204.348387,0,104,5.6,96.3,5.26,100.1
42204.348398,0,103,5.1,95.2,4.78,100
42204.34841,0,105,4.9,97.1,4.59,101.9
42204.348422,0,104,4.8,95.8,4.5,100.6
42204.348433,,105,5.1,97.2,4.77,102
42204.348445,0,107,5.3,99.6,4.94,103.4
42204.348457,0,106,5,98.5,4.65,102.2
42204.348468,0,102,5.3,93.9,5,96.6
42204.34848,0,100,5,91.3,4.73,94.1
42204.348492,,99,4.8,90,4.56,92.8
42204.348504,0,100,4.7,91.2,4.45,93.9
42204.348516,0,100,4.7,91.1,4.45,93.9
42204.348527,0,100,4,90.8,3.79,93.5
42204.348539,0,99,4.3,89.7,4.09,93.4
42204.34855,,91,3.8,80.1,3.67,83.9
42204.348562,0,101,3.5,91.9,3.31,93.6
42204.348573,0,101,4,91.8,3.79,94.6
42204.348585,0,120,4.3,114.4,3.88,117.1
42204.348597,0,117,4.5,110.9,4.09,113.6
42204.348608,,104,4.5,95.6,4.23,98.3
42204.34862,0,95,5.1,85.6,4.89,88.3
42204.348632,0.45,99,4.8,61.7,4.61,96.8
42204.348643,0.45,109,4.9,71.8,4.71,107
42204.348655,0.45,109,4.7,48.6,4.17,145.3
42204.348667,,109,4.7,48.6,4.17,146.2
42204.348678,0,102,4.6,93.3,4.34,96.1
42204.34869,0,98,4,88.7,3.77,91.5
42204.348702,0,99,4.3,89.7,4.09,92.4
42204.348714,0,100,4.4,90.9,4.17,94.7
42204.348725,,103,4.1,94.3,3.86,97.1
42204.348737,0,107,4.3,99.1,4.01,101.8
42204.348749,0,111,4,103.8,3.73,106.5
42204.34876,0,121,4.2,115.6,3.78,118.3
42204.348772,0,124,3.9,119.1,3.48,120.8
42204.348784,,126,4.1,121.5,3.64,123.2
42204.348795,0,123,3.9,117.8,3.49,120.6
42204.348807,0,123,4.5,117.9,4.03,120.6
42204.348819,0,124,4.5,119.1,4.01,121.9
42204.34883,0,121,4.6,115.6,4.14,118.3
42204.348842,,112,4.6,105,4.24,107.7
42204.348854,0,108,4.6,100.4,4.28,104.1
42204.348865,0,109,4.6,101.6,4.27,104.3
42204.348877,0,106,4.1,97.8,3.83,99.6
42204.348889,0,104,4.2,95.5,3.94,97.2
42204.3489,,106,4.8,98.2,4.48,100.9
42204.348912,0,107,4.7,99.3,4.38,102
42204.348924,0,102,4.7,93.4,4.38,96.2
42204.348935,0,98,4.6,88.7,4.38,91.5
42204.348947,0,96,4.6,86.4,4.4,90.2
42204.348959,,97,4.6,87.6,4.39,91.4
42204.34897,0,90,4.6,79.4,4.45,84.2
42204.348982,0,85,4.6,74.1,4.46,78.9
42204.348994,0,79,4.1,67.1,4.05,71.9
42204.349005,0,84,3.7,69.1,3.84,73.8
42204.349017,,84,3.7,72.3,3.63,77.1
42204.349029,0,91,3.7,80.1,3.58,84.9
42204.34904,0.45,95,3.6,39.4,2.91,58.4
42204.349052,0.45,95,3.6,76.3,3.45,94.8
42204.349064,0,90,3.7,80.1,3.83,82.9
42204.349075,,90,3.7,78.9,3.59,81.6
42204.349087,0,91,4.1,80.2,3.96,82.9
42204.349098,0,96,5.2,86.7,4.99,89.5
42204.34911,0,96,5.2,86.9,4.97,89.7
42204.349122,0,96,4.3,86.7,4.1,89.5
42204.349134,0,96,4.3,86.2,4.11,88.9
42204.349145,,97,4.4,87.4,4.2,90.2
42204.349157,0,97,4.1,87.2,3.91,90.9
42204.349169,0,97,4.1,87.2,3.91,91
42204.349181,0,107,3.3,99,3.1,102.8
42204.349192,0,107,3.3,98.9,3.08,103.7
42204.349204,,103,3.3,94.2,3.11,98.9
42204.349216,0,103,2.8,94.1,2.64,98.9
42204.349228,0,103,3,94.1,2.83,99.9
42204.349239,0,112,2.8,104.8,2.64,110.6
42204.349251,0,121,2.6,104.8,2.58,109.5
42204.349262,0,121,2.6,115.4,2.34,120.2
42204.349274,,122,2.5,116.6,2.26,120.3
42204.349286,0,126,2.1,121.3,1.88,123.1
42204.349297,0,132,2.1,128.5,1.86,130.2
42204.349309,0,119,2.2,113,1.92,115.7
42204.349321,0,119,2.2,113,1.99,115.8
42204.349332,,107,3.7,98.8,3.4,102.6
42204.349344,0,107,3.7,99,3.45,102.7
42204.349356,,104,3.4,95.4,3.17,99.2
42204.349368,0,104,3.4,95.4,3.19,100.2
42204.349379,0,104,3.4,95.4,3.19,100.2
42204.349391,0,104,3.4,95.4,3.19,99.1
42204.349403,0,,,95.4,3.19,99.1
42204.349414,0,,,95.4,3.19,99.1
42204.349426,0,,,95.4,3.19,98.1
42204.349438,0,,,95.4,3.19,98.1
42204.349449,0,97,3.5,87.1,3.29,89.8
42204.349461,0,100,3.8,90.7,3.61,93.5
42204.349473,,100,3.8,90.7,3.6,93.5
42204.349484,,99,3.7,89.5,3.51,91.3
42204.349496,0,98,3.8,88.4,3.62,92.1
42204.349507,0,98,3.8,88.4,3.62,92.1
42204.349519,0,98,3.6,88.4,3.43,92.1
42204.349531,0,99,4.3,89.7,4.09,93.5
42204.349542,,100,4.1,90.9,3.9,94.6
42204.349554,0,100,3.9,90.7,3.7,94.5
42204.349566,0,101,4.1,91.9,3.89,94.7
42204.349578,0,103,3.9,94.3,3.69,98.1
42204.349589,0,100,4.1,90.8,3.89,93.5
42204.349601,,99,3.9,89.6,3.7,92.4
42204.349613,0,100,4.1,90.8,3.89,93.5
42204.349624,0.45,99,3.9,80.1,3.88,97.7
42204.349636,0.45,100,3.8,81.5,3.66,99.1
42204.349648,0,97,3.6,87.1,3.6,89.8
42204.34966,0,95,3.9,84.8,3.73,88.5
42204.349671,,94,4.1,83.7,3.94,87.5
42204.349683,0,95,4.6,85.3,4.41,88
42204.349694,0,97,5,87.6,4.79,90.3
42204.349706,0,97,4.9,87.8,4.68,89.6
42204.349718,0,96,4.8,86.6,4.59,89.3
42204.349729,,96,4.7,86.5,4.5,89.2
42204.349741,0,96,4.7,86.5,4.5,89.3
42204.349753,0,96,4.2,86.5,4.02,89.3
42204.349764,0,95,4.3,85,4.12,87.8
42204.349776,0,95,4,84.9,3.84,87.6
42204.349788,,93,3.9,82.5,3.76,85.2
42204.349799,0,93,4,82.5,3.86,86.3
42204.349811,0,92,3.6,81.3,3.47,85.1
42204.349823,0,95,3.4,84.7,3.26,87.5
42204.349834,0,95,3.1,84.7,2.98,87.4
42204.349846,,97,4,87.2,3.82,90
42204.349857,0,100,3.4,90.6,3.23,93.4
42204.349869,0,106,3,97.7,2.85,100.5
42204.349881,0,109,2.8,101.2,2.6,103.9
42204.349892,0,112,2.7,104.7,2.49,107.5
42204.349904,,115,2.9,108.3,2.65,111.1
42204.349915,0,120,3.1,114.3,2.8,117
42204.349927,0,121,3.3,115.4,2.98,118.2
42204.349939,0,125,3.3,120.2,2.94,123
42204.349951,0,118,3.3,111.9,2.99,114.6
42204.349962,,121,3.4,115.5,3.06,118.2
42204.349974,0,121,3.8,115.5,3.42,119.3
42204.349986,0,121,3.7,115.5,3.33,118.3
42204.349997,0,127,4.4,122.6,3.89,125.4
42204.350009,0,126,3.8,121.4,3.37,124.2
42204.350021,,128,3.6,123.8,3.18,126.5
42204.350032,0,132,3.4,128.5,2.97,131.2
42204.350045,0,135,3.5,132,3.06,134.8
42204.350056,0,129,3.1,124.9,2.73,127.7
42204.350067,0,133,3.2,129.7,2.79,132.4
42204.350079,,138,3.2,135.6,2.75,138.4
42204.350091,0,128,3.3,123.8,2.91,126.5
42204.350102,0,127,3.4,122.6,3,126.3
42204.350114,0,127,3.4,122.6,3.01,125.3
42204.350126,0,127,3.4,122.6,3.01,125.3
42204.350138,,127,3.4,122.6,3.01,126.3
42204.350149,0,,,122.6,3.01,125.3
42204.350161,0,,,122.6,3.01,125.3
42204.350173,0,,,122.6,3.01,124.3
42204.350184,0,,,122.6,3.01,124.3
42204.350196,0,,,122.6,3.01,125.3
42204.350207,0,117,4.1,110.8,3.73,113.6
42204.350219,0,112,3.9,104.9,3.55,107.6
42204.350232,0,112,4.5,105,4.15,108.8
42204.350242,0,117,4.2,110.8,3.82,113.6
42204.350254,,117,5,111,4.55,113.8
42204.350266,0,116,4.4,109.6,4.01,113.4
42204.350277,0,115,4.4,108.5,4.01,113.2
42204.350289,0,117,4.5,110.9,4.09,115.6
42204.350301,0,120,4.2,114.3,3.79,119.1
42204.350312,,118,4,111.9,3.63,116.7
42204.350324,0,117,4.1,110.8,3.73,115.6
42204.350335,0,120,3.9,114.3,3.55,119.1
42204.350347,0,121,4,115.5,3.6,120.3
42204.350359,0,120,4.2,114.3,3.79,119.1
42204.350371,,121,4.2,115.5,3.78,119.3
42204.350383,0,122,4.1,116.7,3.68,119.4
42204.350394,0,121,4.6,115.6,4.13,117.3
42204.350406,0,121,4.6,115.6,4.14,117.3
42204.350418,0,122,5,116.9,4.67,118.6
42204.350429,,122,5,116.8,4.49,119.6
42204.350441,0,120,4.9,114.5,4.42,117.2
42204.350453,0,117,5,111,4.55,113.8
42204.350464,0,117,5,111,4.54,113.8
42204.350476,0,116,4.5,109.8,4.08,113.6
42204.350488,0,116,4.5,109.7,4.1,113.5
42204.3505,,117,4.5,110.9,4.09,114.6
42204.350511,0,118,4.7,112.1,4.24,115.9
42204.350523,0,118,4.7,112.1,4.26,115.9
42204.350535,0,123,4.4,117.9,3.96,120.7
42204.350546,0,123,4.4,117.9,3.94,120.7
42204.350558,,125,4.1,120.3,3.65,123
42204.350569,0,124,3.6,119,3.23,121.8
42204.350581,0,124,3.4,119,3.21,121.8
42204.350593,0,121,3.1,115.5,2.77,118.2
42204.350604,0.45,121,3.1,65.1,2.5,145.3
42204.350616,,116,3,60.2,2.61,187.9
42204.350628,0,117,2.8,110.7,2.55,114.5
42204.350639,0,118,2.8,111.9,2.54,115.6
42204.350651,0,117,2.7,110.7,2.45,114.5
42204.350662,0,115,2.8,110.7,2.45,114.4
42204.350674,,115,2.8,108.3,2.56,112.1
42204.350686,0,116,2.7,109.5,2.48,113.3
42204.350697,0,117,2.5,110.7,2.28,114.4
42204.350709,0,113,2.4,105.9,2.18,109.7
42204.35072,0,112,2.4,105.9,2.2,109.7
42204.350732,,112,2.4,104.7,2.21,108.5
42204.350744,0,112,2.8,104.7,2.57,107.5
42204.350755,0,111,3.2,103.6,2.95,106.3
42204.350767,0,111,3.4,103.6,3.14,106.4
42204.350779,0,110,3.5,102.5,3.23,105.2
42204.350791,0,110,3.5,102.5,3.24,105.2
42204.350803,,107,3.9,98.9,3.64,101.7
42204.350814,0,106,4.2,97.8,3.92,100.6
42204.350826,0,104,4.3,95.5,4.02,98.3
42204.350837,0,103,4.3,94.4,4.04,98.1
42204.350849,0.45,101,4.4,44,3.48,130
42204.350861,,101,4.4,42,3.77,143.3
42204.350872,0.45,101,4.4,42,3.77,143.3
42204.350884,,100,4.5,41.3,3.86,142.6
42204.350896,0.45,97,5.1,38.8,4.42,137.9
42204.350908,0,96,5,87,4.77,90.8
42204.350919,0,96,4.9,86.7,4.68,90.5
42204.350931,0,96,4.8,86.7,4.59,90.4
42204.350943,,95,4.8,85.4,4.59,88.2
42204.350954,0,95,4.7,85.3,4.5,89.1
42204.350966,0,96,4.7,86.5,4.5,89.3
42204.350978,0,97,4.7,87.7,4.49,90.4
42204.35099,0,99,4.7,90,4.47,92.7
42204.351001,,99,4.6,90,4.37,93.7
